"zip_code","longitude","latitude","population","median_age","percent_male","percent_female","total_households","avg_household_size"
93225,-119.04196,34.78532,5077,44,50.9158952137089,49.0841047862911,2080,2.44
93243,-118.81769,34.84057,1699,40.9,52.0306062389641,47.9693937610359,623,2.73
93252,-119.2786,34.7797,4176,38.4,79.0469348659004,20.9530651340996,647,2.81
93510,-118.2293,34.4601,7993,45.2,51.1197297635431,48.8802702364569,2729,2.86
93523,-117.88308,34.99788,3074,27,49.8048145738452,50.1951854261548,1056,2.91
93532,-118.55914,34.68571,2932,41.7,56.0027285129604,43.9972714870396,1079,2.45
93534,-118.1474,34.6946,39341,31.1,47.2814620878981,52.7185379121019,14038,2.74
93535,-117.89613,34.69908,72046,28.3,48.4121255864309,51.5878744135691,20672,3.44
93536,-118.3889,34.75267,70918,34.4,53.3066358329338,46.6933641670662,20964,3.07
93543,-117.96,34.4965,13033,32.9,51.3696002455306,48.6303997544694,3560,3.66
93544,-117.75505,34.49063,1259,52.4,54.72597299444,45.27402700556,569,2.2
93550,-118.0654,34.3579,74929,27.5,48.5980061124531,51.4019938875469,20864,3.58
93551,-118.1825,34.5942,50798,37,49.3247765660065,50.6752234339935,15963,3.18
93552,-118.0303,34.5812,38158,28.4,49.0355888673411,50.9644111326589,9690,3.93
93553,-117.9015,34.3781,2138,43.3,52.4321796071095,47.5678203928906,816,2.62
93560,-118.3228,34.8843,18910,32.4,50.1903754627181,49.8096245372819,6469,2.92
93563,-117.7491,34.4053,388,44.5,67.7835051546392,32.2164948453608,103,2.53
93591,-117.8194,34.5926,7285,30.9,50.1441317776253,49.8558682223747,1982,3.67
